gender,age,marital_status,disability,residence_district,father_education_level,mother_education_level,household_members,economic_dependency,insurance_type,chronic_disease,academic_program,current_semester,enrolled_courses,weighted_average,failed_course,class_attendance,career_motivation,career_satisfaction,personal_motivation,professor_motivation,considered_career_change,dropout_thought,transportation,commute_time,internet_access,study_space,library_usage,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,work_affects_studies,study_hours,bullying_experience,demotivation,academic_stress,emotional_support,dropout_reason
Female,31,Single,No,Miraflores,University,Secondary,4,Partial,SIS,No,Systems Engineering,4,4–5,13–15,No,Sometimes,Admit million miss food performance together.,Satisfied,Yes,Yes,Yes,No,Public,<30 min,Yes,Yes,Regularly,No,Yes,Rented,<500,1000–2000,No,Yes,10–20,Yes,5–10,Yes,Yes,No,No,
Female,31,Single,No,Ate,Primary,Secondary,6,Minimal,SIS,Yes,Systems Engineering,10,3,13–15,No,Almost always,Once health son important challenge serious agreement response body.,Unsatisfied,Yes,No,No,No,Private,<30 min,Yes,Yes,Sometimes,No,No,Rented,0,1000–2000,Yes,Yes,<10,Yes,<5,No,Yes,Yes,No,
Female,30,Single,No,Punta Negra,Technical,University,3,Partial,EsSalud,No,Software Engineering,4,6 or more,<10,Yes,Almost always,Up increase produce want feel.,Unsatisfied,No,Yes,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,<500,<1000,No,Yes,<10,No,5–10,No,Yes,Yes,No,
Male,22,Single,No,La Victoria,University,Secondary,5,Partial,SIS,No,Software Engineering,1,3,13–15,No,Sometimes,When health toward agree high source authority other meeting base.,Satisfied,Yes,Yes,No,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Shared,0,<1000,Yes,No,<10,Yes,5–10,No,Yes,No,Yes,
Male,28,Single,Yes,Santa María del Mar,Primary,Postgraduate,6,Partial,SIS,Yes,Software Engineering,10,6 or more,13–15,No,Sometimes,Maybe rather every lot conference because leader.,Very satisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Sometimes,No,No,Rented,0,1000–2000,Yes,No,>20,No,<5,No,No,No,Yes,
Male,23,Single,No,Independencia,Postgraduate,Primary,5,Minimal,Private,Yes,Systems Engineering,1,3,10–12,Yes,Never,Southern activity region south senior war break meet contain wind.,Unsatisfied,Yes,Yes,No,Yes,Private,>1 h,No,Yes,Regularly,No,No,Rented,500–1000,>4000,Yes,No,<10,Yes,5–10,Yes,No,No,No,Magazine process century PM state free law court describe.
Female,18,Single,No,Lurigancho-Chosica,Secondary,University,4,Minimal,SIS,No,Systems Engineering,9,4–5,16+,Yes,Sometimes,Discover now account performance body mission.,Satisfied,Yes,Yes,No,Yes,Public,<30 min,Yes,Yes,Never,Yes,Yes,Owned,0,<1000,No,No,<10,No,>10,No,No,No,No,Up end lot indicate structure read beautiful against carry because.
Male,19,Single,No,San Juan de Miraflores,Secondary,University,2,Partial,None,No,Software Engineering,7,6 or more,16+,No,Always,Help front dream term bill main.,Unsatisfied,No,No,No,No,Public,<30 min,Yes,Yes,Regularly,Yes,Yes,Shared,0,<1000,No,No,>20,No,5–10,No,Yes,No,No,
Female,26,Single,No,Punta Hermosa,Secondary,Primary,1,Do not depend,EsSalud,No,Software Engineering,7,4–5,13–15,Yes,Almost always,Ball structure industry lawyer choose myself along dream.,Very unsatisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,No,Yes,Rented,0,1000–2000,No,No,<10,Yes,<5,No,No,No,Yes,
Female,23,Single,No,Chaclacayo,Secondary,Secondary,4,Partial,Private,No,Software Engineering,3,4–5,<10,No,Almost always,The charge it human now method person.,Unsatisfied,Yes,No,No,No,Private,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,<500,2000–4000,No,Yes,10–20,Yes,>10,No,No,Yes,Yes,
Male,33,Married,No,Santa Rosa,Primary,Primary,7,Partial,EsSalud,No,Systems Engineering,6,3,<10,No,Always,Read report though to power analysis by among very board.,Satisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,No,Yes,Rented,0,<1000,No,No,<10,Yes,<5,No,Yes,No,Yes,
Female,22,Single,No,San Juan de Lurigancho,Secondary,Secondary,7,Partial,SIS,No,Software Engineering,1,4–5,10–12,No,Almost always,List against performance kind western.,Satisfied,Yes,No,No,No,Walking,<30 min,Yes,Yes,Never,No,Yes,Dormitory,<500,1000–2000,No,Yes,<10,Yes,>10,No,No,No,No,
Female,23,Single,No,Chaclacayo,Primary,Primary,7,Partial,SIS,No,Systems Engineering,9,6 or more,13–15,Yes,Almost always,Result ball accept ask report thousand.,Satisfied,No,No,Yes,No,Public,30–60 min,No,Yes,Never,No,No,Owned,0,2000–4000,No,No,<10,Yes,5–10,No,No,No,No,
Female,24,Single,No,Santa Anita,Primary,Secondary,2,Total,None,No,Systems Engineering,4,4–5,13–15,No,Always,Very down really region office hope.,Satisfied,No,No,Yes,Yes,Private,>1 h,Yes,No,Never,No,No,Owned,0,1000–2000,No,No,10–20,No,5–10,No,No,Yes,Yes,Carry financial new be environment important to offer stock.
Female,27,Single,No,Lurigancho-Chosica,Primary,Primary,7,Total,None,No,Systems Engineering,9,4–5,13–15,No,Almost always,Beyond sound bill every environmental thus.,Very satisfied,Yes,Yes,Yes,Yes,Walking,<30 min,Yes,Yes,Sometimes,No,No,Owned,0,>4000,No,Yes,10–20,Yes,5–10,No,No,No,No,Deep example democratic news face theory answer wonder chance born find war.
Female,34,Single,No,Los Olivos,Technical,Primary,1,Total,Private,No,Systems Engineering,3,4–5,13–15,No,Never,Give claim enter claim mind top beautiful girl again its.,Unsatisfied,Yes,Yes,Yes,No,Private,<30 min,Yes,Yes,Sometimes,Yes,No,Owned,<500,<1000,Yes,No,<10,Yes,<5,No,No,Yes,No,
Male,25,Single,No,Lurigancho-Chosica,Primary,Secondary,4,Do not depend,EsSalud,No,Software Engineering,6,4–5,10–12,No,Almost always,Eight blue idea word general bag wind day officer.,Very unsatisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Never,No,No,Owned,0,1000–2000,Yes,No,<10,No,<5,No,No,No,No,
Male,21,Single,No,Pachacámac,University,Postgraduate,7,Partial,EsSalud,No,Software Engineering,8,6 or more,16+,No,Almost always,Travel take late tell professional moment bed financial visit everything.,Very satisfied,Yes,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Owned,0,<1000,Yes,No,<10,No,>10,No,No,Yes,Yes,
Male,31,Single,No,Miraflores,Primary,University,5,Total,None,No,Software Engineering,3,4–5,10–12,No,Sometimes,Reveal nothing industry bill easy authority move.,Satisfied,Yes,Yes,No,No,Private,<30 min,Yes,No,Never,No,Yes,Shared,<500,>4000,No,No,<10,Yes,<5,No,No,Yes,Yes,
Female,25,Single,No,Santiago de Surco,Secondary,Primary,5,Do not depend,SIS,No,Software Engineering,8,4–5,16+,No,Almost always,Develop result identify thank concern start.,Very satisfied,Yes,Yes,Yes,No,Public,30–60 min,Yes,No,Sometimes,Yes,No,Owned,500–1000,1000–2000,No,No,<10,No,5–10,No,No,No,No,
Male,22,Married,No,Breña,Secondary,Secondary,4,Total,EsSalud,No,Software Engineering,3,4–5,10–12,No,Never,Force seem responsibility several billion.,Satisfied,Yes,Yes,Yes,Yes,Private,<30 min,Yes,Yes,Sometimes,Yes,No,Rented,0,<1000,No,No,>20,Yes,<5,No,Yes,No,No,Head another capital view wind rule.
Female,29,Single,No,Chaclacayo,Postgraduate,University,7,Partial,SIS,Yes,Software Engineering,2,3,13–15,No,Almost always,Eat voice arm price occur mother yet few wish.,Very satisfied,Yes,No,No,Yes,Public,>1 h,Yes,Yes,Sometimes,Yes,No,Owned,0,1000–2000,Yes,Yes,10–20,Yes,<5,No,No,No,Yes,Something material yeah data character game so week behavior method policy painting any.
Male,20,Single,No,Santa Anita,Primary,Secondary,3,Partial,EsSalud,No,Systems Engineering,2,4–5,10–12,Yes,Almost always,Fly according manager garden example feeling understand television young last.,Satisfied,Yes,Yes,Yes,No,Private,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,0,<1000,Yes,No,<10,Yes,<5,No,No,Yes,No,
Male,25,Single,No,Pueblo Libre,Primary,University,7,Partial,EsSalud,No,Systems Engineering,6,4–5,10–12,No,Almost always,Experience explain play film weight feeling.,Unsatisfied,No,Yes,No,Yes,Public,>1 h,Yes,No,Sometimes,Yes,Yes,Shared,500–1000,1000–2000,No,No,<10,Yes,5–10,No,No,Yes,No,Simply break himself involve he improve hospital range poor word adult politics behind.
Female,22,Single,No,Santa Rosa,Secondary,Secondary,4,Partial,None,Yes,Systems Engineering,6,4–5,10–12,No,Sometimes,Nearly catch hand company million value put.,Satisfied,No,Yes,Yes,No,Public,30–60 min,Yes,Yes,Never,No,No,Shared,0,2000–4000,Yes,No,<10,Yes,<5,No,No,No,Yes,
Female,26,Single,No,Santiago de Surco,University,Technical,6,Partial,Private,No,Software Engineering,8,4–5,10–12,Yes,Sometimes,Nothing protect free nor street daughter model lot TV area.,Satisfied,Yes,No,Yes,No,Private,30–60 min,Yes,Yes,Sometimes,No,Yes,Rented,0,1000–2000,No,No,<10,Yes,5–10,No,No,No,No,
Female,30,Single,No,Santiago de Surco,Primary,Primary,7,Partial,EsSalud,No,Software Engineering,10,4–5,10–12,No,Sometimes,Religious letter save usually news data.,Satisfied,Yes,No,No,Yes,Public,<30 min,Yes,Yes,Sometimes,No,No,Dormitory,0,>4000,No,No,>20,Yes,5–10,No,Yes,No,No,Expect family history dark risk since reach lose rather skill break book party.
Male,29,Single,No,San Luis,Secondary,Secondary,3,Minimal,EsSalud,Yes,Systems Engineering,8,4–5,13–15,No,Almost always,Wonder visit young hit everyone.,Very satisfied,No,Yes,Yes,No,Public,30–60 min,No,Yes,Regularly,Yes,Yes,Rented,0,2000–4000,No,No,10–20,Yes,5–10,No,No,No,Yes,
Male,17,Single,No,San Isidro,Secondary,Technical,4,Partial,SIS,No,Software Engineering,9,4–5,16+,Yes,Almost always,Age interview article likely positive lot.,Unsatisfied,Yes,No,No,No,Public,<30 min,Yes,Yes,Sometimes,No,No,Dormitory,0,2000–4000,No,No,10–20,No,<5,No,Yes,No,No,
Female,33,Single,No,San Miguel,Technical,University,1,Partial,SIS,No,Software Engineering,8,4–5,10–12,No,Almost always,Sell ready often collection resource send affect close build true.,Satisfied,Yes,No,No,No,Public,<30 min,Yes,No,Never,Yes,Yes,Rented,0,2000–4000,No,Yes,<10,No,<5,No,Yes,No,Yes,
Male,22,Single,No,San Borja,Secondary,Primary,4,Total,EsSalud,No,Software Engineering,6,3,<10,Yes,Almost always,Stage write back just fish feel hair myself.,Very unsatisfied,No,Yes,No,No,Private,30–60 min,Yes,Yes,Never,No,Yes,Owned,<500,2000–4000,No,Yes,10–20,Yes,<5,No,No,No,Yes,
Female,27,Single,No,La Molina,Secondary,Secondary,7,Total,SIS,No,Systems Engineering,6,6 or more,<10,Yes,Sometimes,Accept method them many let turn woman small lose.,Unsatisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Regularly,Yes,Yes,Owned,500–1000,1000–2000,No,No,10–20,No,<5,No,No,Yes,Yes,
Female,31,Single,No,Pueblo Libre,Primary,Primary,1,Partial,Private,No,Systems Engineering,1,4–5,<10,Yes,Always,Parent them service who of.,Satisfied,Yes,Yes,No,No,Public,<30 min,No,Yes,Regularly,No,No,Rented,0,1000–2000,No,No,<10,Yes,5–10,No,Yes,No,Yes,
Male,23,Single,No,Punta Hermosa,Primary,Primary,6,Total,None,No,Software Engineering,7,3,<10,No,Almost always,Program national option window plant property often play.,Very satisfied,Yes,Yes,No,Yes,Public,>1 h,Yes,Yes,Sometimes,No,Yes,Owned,0,1000–2000,Yes,No,<10,No,5–10,No,No,Yes,No,In per case ever effort rather than again environmental home wide old.
Male,31,Single,No,Comas,Secondary,Primary,6,Partial,SIS,No,Systems Engineering,2,3,13–15,Yes,Always,Sing rest executive she any very yes.,Very unsatisfied,Yes,No,No,No,Private,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Owned,0,<1000,No,Yes,<10,No,5–10,Yes,Yes,Yes,No,
Female,20,Single,No,Miraflores,University,Secondary,4,Do not depend,Private,No,Software Engineering,5,4–5,<10,Yes,Always,Rule him sell why defense stage list agency her.,Unsatisfied,Yes,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Owned,<500,1000–2000,No,No,>20,Yes,>10,No,No,No,Yes,
Male,22,Single,No,Lurigancho-Chosica,Technical,Secondary,2,Minimal,None,No,Systems Engineering,3,6 or more,13–15,Yes,Sometimes,Different later have simple member.,Unsatisfied,Yes,Yes,No,Yes,Private,<30 min,Yes,Yes,Sometimes,Yes,No,Rented,0,2000–4000,Yes,No,<10,Yes,5–10,No,No,No,No,She husband call because voice than both nation machine mean experience floor administration.
Male,27,Single,No,Lurín,Secondary,Primary,5,Partial,SIS,No,Software Engineering,10,3,13–15,No,Always,Ago job environment break activity sister dog.,Satisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Rented,0,1000–2000,No,No,<10,Yes,5–10,No,Yes,No,Yes,
Female,20,Single,No,Santiago de Surco,Technical,University,2,Total,Private,Yes,Software Engineering,6,3,10–12,No,Almost always,Major of certain set member reduce why develop see.,Very satisfied,No,No,Yes,No,Public,>1 h,Yes,Yes,Regularly,Yes,No,Rented,0,<1000,No,Yes,10–20,Yes,>10,No,No,No,No,
Female,25,Single,No,Ancón,Primary,University,5,Partial,EsSalud,No,Systems Engineering,4,4–5,13–15,Yes,Sometimes,By finish ago whatever particular.,Unsatisfied,No,No,No,No,Public,>1 h,Yes,Yes,Sometimes,No,Yes,Owned,0,1000–2000,No,No,>20,No,<5,No,No,Yes,No,
Female,26,Single,No,Pucusana,Technical,Primary,3,Total,Private,No,Software Engineering,2,4–5,13–15,No,Always,Small minute year performance establish owner guy lead.,Unsatisfied,Yes,Yes,No,Yes,Public,<30 min,Yes,No,Regularly,No,Yes,Owned,0,2000–4000,No,Yes,>20,Yes,5–10,No,No,Yes,Yes,Imagine few others later project over practice.
Female,19,Single,No,Pucusana,Primary,Secondary,6,Minimal,Private,No,Systems Engineering,1,6 or more,13–15,No,Always,Begin must able industry career management word call.,Satisfied,Yes,Yes,Yes,No,Walking,<30 min,Yes,Yes,Sometimes,No,Yes,Rented,0,<1000,No,Yes,<10,No,>10,No,Yes,No,No,
Male,29,Single,No,San Bartolo,University,Primary,6,Partial,SIS,No,Systems Engineering,9,4–5,13–15,No,Never,Great fish area bill wall religious skin program amount.,Satisfied,Yes,Yes,No,No,Public,30–60 min,Yes,Yes,Regularly,Yes,Yes,Owned,0,2000–4000,No,No,>20,Yes,5–10,No,No,No,No,
Male,32,Single,No,San Juan de Lurigancho,Secondary,Secondary,3,Total,SIS,No,Systems Engineering,6,4–5,16+,No,Sometimes,Source she close article argue local red.,Very satisfied,Yes,No,No,No,Public,<30 min,Yes,No,Sometimes,No,No,Owned,0,1000–2000,No,No,<10,Yes,<5,No,No,Yes,Yes,
Female,34,Single,No,Lince,Secondary,Secondary,7,Total,EsSalud,No,Systems Engineering,8,4–5,10–12,Yes,Sometimes,Total light each particularly letter.,Unsatisfied,No,No,No,No,Public,<30 min,Yes,Yes,Sometimes,No,Yes,Rented,0,<1000,No,No,>20,Yes,5–10,No,No,Yes,Yes,
Female,24,Single,No,Chaclacayo,Secondary,Primary,5,Total,EsSalud,No,Systems Engineering,5,4–5,<10,No,Always,Day in concern suggest themselves investment walk huge buy thought.,Unsatisfied,No,No,No,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,0,1000–2000,No,No,<10,Yes,5–10,No,Yes,Yes,No,
Female,29,Single,No,Jesús María,Technical,Secondary,1,Total,EsSalud,No,Software Engineering,6,4–5,13–15,Yes,Sometimes,This president arrive research read.,Satisfied,No,No,Yes,No,Public,>1 h,Yes,Yes,Regularly,Yes,No,Owned,0,2000–4000,No,No,10–20,Yes,>10,No,No,Yes,Yes,
Male,28,Single,No,Miraflores,Secondary,Primary,3,Partial,None,No,Software Engineering,4,4–5,10–12,No,Almost always,Should address cell type send letter president much condition.,Unsatisfied,Yes,Yes,Yes,Yes,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Owned,0,<1000,Yes,Yes,<10,No,5–10,No,No,Yes,No,Human she return particular talk color contain land take.
Male,29,Single,No,San Luis,Secondary,Secondary,3,Total,SIS,No,Software Engineering,10,4–5,10–12,No,Always,Deep politics agreement later end option all tend card company.,Satisfied,No,No,No,No,Private,30–60 min,Yes,Yes,Sometimes,No,Yes,Shared,0,<1000,No,No,>20,No,5–10,No,Yes,Yes,Yes,
Male,24,Single,No,Los Olivos,Technical,Primary,5,Partial,Private,No,Systems Engineering,6,4–5,13–15,No,Sometimes,Reduce wife director run care lose source thus.,Very satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Regularly,No,No,Owned,500–1000,<1000,No,No,<10,No,>10,No,Yes,No,No,
Male,34,Single,No,San Luis,University,Technical,5,Minimal,SIS,No,Systems Engineering,5,4–5,13–15,Yes,Always,Serious international management throw contain number room customer decide radio brother.,Very satisfied,Yes,Yes,No,No,Private,<30 min,No,No,Regularly,Yes,No,Shared,<500,1000–2000,Yes,Yes,10–20,Yes,5–10,No,No,Yes,No,
Male,29,Single,No,Lima Cercado,Secondary,Primary,4,Total,Private,No,Systems Engineering,7,4–5,10–12,No,Always,Within push account staff human state of administration property rock example.,Satisfied,Yes,Yes,Yes,Yes,Public,<30 min,Yes,Yes,Sometimes,Yes,Yes,Rented,0,1000–2000,Yes,Yes,>20,No,5–10,Yes,No,Yes,Yes,On discover deal short resource kind statement magazine.
Female,24,Single,No,Punta Hermosa,Secondary,University,4,Minimal,EsSalud,No,Software Engineering,5,3,10–12,No,Almost always,Long condition single visit a effort many material me alone.,Satisfied,No,Yes,No,No,Public,>1 h,Yes,No,Regularly,No,Yes,Owned,0,2000–4000,No,No,<10,Yes,<5,No,Yes,Yes,No,
Female,25,Single,No,Ancón,University,Secondary,7,Partial,EsSalud,No,Systems Engineering,2,4–5,13–15,No,Almost always,Staff size among camera direction student help.,Satisfied,Yes,No,No,No,Public,<30 min,Yes,No,Sometimes,Yes,No,Owned,0,1000–2000,No,No,<10,Yes,>10,No,No,No,No,
Male,24,Married,No,Pachacámac,Technical,Secondary,1,Total,EsSalud,Yes,Systems Engineering,8,4–5,10–12,No,Always,Bit thing adult wonder military.,Satisfied,No,Yes,No,No,Public,<30 min,No,Yes,Never,Yes,Yes,Rented,<500,2000–4000,Yes,No,10–20,Yes,5–10,No,No,No,Yes,
Male,21,Single,No,Los Olivos,Technical,Secondary,4,Minimal,Private,Yes,Software Engineering,4,6 or more,16+,No,Almost always,Within huge special share forward nature bill military industry assume.,Satisfied,Yes,Yes,Yes,No,Private,>1 h,Yes,Yes,Regularly,No,No,Owned,0,>4000,No,Yes,<10,Yes,5–10,No,No,No,No,
Female,34,Single,No,San Juan de Miraflores,Technical,Secondary,2,Total,Private,No,Software Engineering,8,6 or more,10–12,Yes,Always,Participant task heavy leader other become.,Very satisfied,Yes,Yes,No,No,Public,30–60 min,Yes,Yes,Regularly,No,No,Owned,<500,<1000,No,No,<10,Yes,>10,No,Yes,Yes,No,
Female,33,Divorced,No,Punta Negra,University,University,3,Partial,SIS,No,Software Engineering,7,6 or more,13–15,Yes,Always,Fish such front coach feeling Mrs PM simply may information.,Satisfied,No,No,No,No,Public,>1 h,Yes,Yes,Regularly,No,No,Owned,0,1000–2000,No,Yes,10–20,No,<5,No,No,No,Yes,
Female,34,Married,No,La Molina,Technical,Secondary,5,Do not depend,EsSalud,No,Software Engineering,4,4–5,10–12,Yes,Always,Measure when different particular it number computer.,Satisfied,Yes,No,No,No,Public,30–60 min,No,Yes,Sometimes,No,Yes,Rented,500–1000,2000–4000,No,No,<10,No,>10,No,No,Yes,Yes,
Male,28,Single,No,Los Olivos,Secondary,Secondary,4,Total,EsSalud,Yes,Software Engineering,2,4–5,10–12,No,Sometimes,Painting vote report citizen prevent dream must worker help record.,Satisfied,No,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,No,Rented,0,2000–4000,No,No,<10,Yes,5–10,No,No,Yes,Yes,
Female,33,Single,No,Pucusana,Primary,Primary,1,Total,EsSalud,No,Systems Engineering,2,6 or more,13–15,No,Sometimes,Pm require investment million task approach American.,Unsatisfied,Yes,No,Yes,No,Public,30–60 min,No,Yes,Sometimes,Yes,No,Rented,0,>4000,No,No,10–20,Yes,5–10,No,No,Yes,Yes,
Male,19,Single,No,Jesús María,University,Technical,7,Partial,SIS,No,Systems Engineering,4,4–5,13–15,Yes,Sometimes,Daughter tax late pay difficult exactly necessary.,Satisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Sometimes,No,Yes,Rented,500–1000,1000–2000,No,No,<10,Yes,5–10,No,No,No,No,
Female,25,Single,No,San Bartolo,Primary,University,7,Partial,SIS,No,Software Engineering,2,4–5,13–15,No,Always,Fall class start result when already may local apply.,Satisfied,No,No,No,No,Public,<30 min,Yes,No,Regularly,No,Yes,Owned,0,<1000,No,Yes,<10,Yes,5–10,No,No,No,Yes,
Male,21,Single,No,Pucusana,Primary,Primary,4,Partial,EsSalud,No,Systems Engineering,6,4–5,13–15,No,Always,Instead he five teacher force artist full partner many.,Very unsatisfied,No,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Shared,<500,>4000,No,No,<10,No,<5,No,No,Yes,No,
Female,28,Single,No,Comas,Secondary,Primary,4,Partial,None,Yes,Software Engineering,10,4–5,13–15,Yes,Sometimes,Strategy final image suggest great computer.,Very satisfied,Yes,Yes,No,No,Public,30–60 min,Yes,No,Regularly,Yes,No,Owned,<500,1000–2000,No,Yes,<10,Yes,<5,No,No,No,Yes,
Male,34,Single,No,Punta Negra,Primary,Technical,7,Partial,Private,Yes,Software Engineering,2,6 or more,16+,Yes,Sometimes,Subject something ask moment purpose.,Satisfied,Yes,No,Yes,No,Private,<30 min,Yes,No,Never,No,No,Shared,0,1000–2000,No,Yes,>20,No,5–10,No,No,No,No,
Female,27,Married,No,Santa Anita,Technical,University,5,Minimal,Private,No,Systems Engineering,4,4–5,10–12,No,Always,Head recent too middle move green why low.,Satisfied,Yes,No,No,No,Walking,>1 h,Yes,Yes,Sometimes,No,Yes,Rented,0,<1000,Yes,No,<10,No,5–10,No,Yes,Yes,Yes,
Female,23,Single,No,Jesús María,Primary,Primary,5,Minimal,SIS,No,Software Engineering,2,4–5,10–12,No,Always,Walk thought start forward.,Unsatisfied,Yes,Yes,No,No,Public,30–60 min,Yes,No,Sometimes,No,Yes,Rented,0,<1000,Yes,Yes,<10,No,5–10,No,No,Yes,No,
Male,33,Single,No,San Martín de Porres,University,Secondary,7,Do not depend,SIS,No,Systems Engineering,3,4–5,13–15,No,Always,Bit allow group weight debate join.,Satisfied,No,Yes,No,No,Public,30–60 min,Yes,No,Sometimes,No,Yes,Shared,>1000,<1000,Yes,No,<10,Yes,5–10,Yes,Yes,Yes,No,
Female,33,Single,No,Puente Piedra,Primary,Secondary,4,Total,SIS,No,Systems Engineering,1,3,13–15,Yes,Always,Project wait car management prove building boy.,Very satisfied,Yes,No,No,No,Public,30–60 min,No,No,Never,No,Yes,Owned,<500,<1000,No,No,<10,No,<5,No,No,No,No,
Male,28,Single,No,Breña,Primary,Secondary,3,Partial,SIS,No,Systems Engineering,6,6 or more,<10,No,Sometimes,Society together American new message interest cut.,Very satisfied,Yes,No,No,Yes,Private,>1 h,Yes,Yes,Sometimes,No,Yes,Dormitory,0,1000–2000,No,No,>20,Yes,5–10,No,Yes,No,Yes,History media spring state thought may wonder.
Female,30,Single,Yes,Surquillo,Secondary,Secondary,2,Partial,EsSalud,No,Software Engineering,8,4–5,16+,No,Always,High since short list child central.,Very satisfied,Yes,Yes,Yes,Yes,Private,<30 min,Yes,Yes,Sometimes,Yes,No,Owned,0,2000–4000,No,No,<10,No,5–10,No,Yes,No,No,Bed also shake have its south lose popular.
Male,20,Single,No,Pachacámac,Primary,Technical,3,Total,EsSalud,Yes,Systems Engineering,5,4–5,16+,Yes,Almost always,Something change just leave school.,Satisfied,Yes,No,No,No,Public,<30 min,Yes,No,Sometimes,Yes,Yes,Shared,<500,1000–2000,Yes,Yes,<10,Yes,5–10,No,Yes,No,Yes,
Male,30,Single,No,Independencia,Postgraduate,Primary,3,Minimal,EsSalud,No,Software Engineering,3,3,<10,No,Sometimes,Face blue or others hard sure his.,Satisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Rented,500–1000,<1000,Yes,No,<10,Yes,<5,No,No,No,No,
Female,22,Single,No,San Bartolo,Technical,Primary,4,Partial,SIS,No,Systems Engineering,10,6 or more,13–15,No,Sometimes,Case door production agent space process month low.,Unsatisfied,Yes,No,No,No,Private,<30 min,Yes,No,Sometimes,No,No,Rented,0,<1000,Yes,No,>20,Yes,>10,No,No,No,Yes,
Female,25,Single,No,San Juan de Lurigancho,Technical,Secondary,5,Partial,SIS,No,Software Engineering,7,3,10–12,No,Always,Mind since collection itself pattern federal interesting nation pretty.,Unsatisfied,Yes,No,No,No,Public,<30 min,No,Yes,Sometimes,Yes,Yes,Owned,0,1000–2000,No,No,>20,Yes,>10,No,No,No,Yes,
Male,20,Single,No,Chorrillos,Secondary,Secondary,5,Do not depend,EsSalud,Yes,Software Engineering,7,4–5,13–15,No,Almost always,These teach responsibility country performance also part start.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Rented,>1000,2000–4000,No,Yes,10–20,Yes,5–10,No,No,No,Yes,
Male,34,Single,No,La Molina,Secondary,Secondary,5,Partial,Private,No,Systems Engineering,8,4–5,10–12,No,Almost always,Face education despite by compare fast.,Satisfied,Yes,No,Yes,No,Private,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,<500,<1000,No,No,<10,No,5–10,No,No,No,No,
Male,31,Single,No,San Bartolo,Secondary,Secondary,3,Total,EsSalud,No,Software Engineering,4,4–5,13–15,Yes,Almost always,Job energy service former cold.,Satisfied,No,No,No,Yes,Walking,>1 h,Yes,Yes,Regularly,Yes,Yes,Owned,500–1000,>4000,Yes,No,10–20,No,5–10,No,No,Yes,No,Yard cause away among American threat really about behind several.
Male,20,Single,No,Villa María del Triunfo,Primary,Primary,5,Partial,None,No,Software Engineering,1,3,13–15,No,Sometimes,Carry value perhaps any than blue risk.,Very satisfied,No,No,Yes,Yes,Public,<30 min,Yes,No,Sometimes,Yes,Yes,Owned,0,1000–2000,No,No,<10,Yes,5–10,No,No,No,Yes,Various important cell all president site think guy our yourself test hold.
Female,18,Single,No,Carabayllo,Primary,Primary,1,Partial,EsSalud,No,Systems Engineering,1,6 or more,13–15,No,Always,Practice memory artist fish risk skin sense also discussion current.,Very satisfied,Yes,No,Yes,Yes,Public,>1 h,Yes,Yes,Sometimes,No,Yes,Shared,500–1000,<1000,No,Yes,>20,Yes,<5,No,No,No,No,Nearly base rate sense more family.
Male,27,Single,No,Punta Negra,University,Secondary,4,Partial,SIS,Yes,Software Engineering,3,4–5,13–15,Yes,Never,Down could bag statement about clearly ten.,Very satisfied,No,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,Yes,No,Shared,>1000,1000–2000,Yes,No,<10,Yes,>10,No,No,No,No,
Male,17,Single,No,Breña,Technical,Postgraduate,6,Do not depend,SIS,No,Systems Engineering,5,4–5,13–15,Yes,Always,Walk position market night explain run.,Very satisfied,No,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Dormitory,0,1000–2000,No,Yes,<10,Yes,5–10,No,Yes,Yes,No,
